Linux 5.4.0-72-generic (suricata) 	06. mai 2021 	_x86_64_	(64 CPU)

kl. 10.43 +0200  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
kl. 10.43 +0200    0    0,10    0,00    0,29    0,00    0,00    2,85    0,00    0,00    0,00   96,76
kl. 10.43 +0200    1    2,32    0,00    0,20    0,00    0,00    0,00    0,00    0,00    0,00   97,48
kl. 10.43 +0200    2    0,30    0,00    1,29    0,10    0,00    1,10    0,00    0,00    0,00   97,21
kl. 10.43 +0200    3    0,61    0,00    0,20    0,00    0,00    0,00    0,00    0,00    0,00   99,19
kl. 10.43 +0200    4    1,31    0,00    0,70    0,00    0,00    0,00    0,00    0,00    0,00   97,99
kl. 10.43 +0200    5   99,50    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00    0,00
kl. 10.43 +0200    6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
kl. 10.43 +0200    7    0,71    0,00    0,91    2,72    0,00    0,00    0,00    0,00    0,00   95,66
kl. 10.43 +0200    8    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
kl. 10.43 +0200    9    0,00    0,00    0,09    0,00    0,00   14,41    0,00    0,00    0,00   85,50
kl. 10.43 +0200   10    0,00    0,00    0,00    0,00    0,00   18,23    0,00    0,00    0,00   81,77
kl. 10.43 +0200   11    0,00    0,00    0,10    0,00    0,00    0,00    0,00    0,00    0,00   99,90
kl. 10.43 +0200   12    0,10    0,00    0,20    0,00    0,00    0,00    0,00    0,00    0,00   99,70
kl. 10.43 +0200   13    0,00    0,00    0,00    0,00    0,00    0,10    0,00    0,00    0,00   99,90
kl. 10.43 +0200   14    1,51    0,00    0,30    0,00    0,00    0,00    0,00    0,00    0,00   98,19
kl. 10.43 +0200   15    0,91    0,00    0,30    0,00    0,00    0,00    0,00    0,00    0,00   98,79
kl. 10.43 +0200   16    0,61    0,00    2,22    0,00    0,00    0,00    0,00    0,00    0,00   97,17
kl. 10.43 +0200   17    1,21    0,00    0,10    0,00    0,00    0,00    0,00    0,00    0,00   98,69
kl. 10.43 +0200   18    0,30    0,00    0,10    0,00    0,00    0,00    0,00    0,00    0,00   99,60
kl. 10.43 +0200   19    0,20    0,00    0,10    0,00    0,00    0,00    0,00    0,00    0,00   99,70
kl. 10.43 +0200   20    0,00    0,00    0,10    0,00    0,00    0,00    0,00    0,00    0,00   99,90
kl. 10.43 +0200   21    0,10    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,90
kl. 10.43 +0200   22    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
kl. 10.43 +0200   23    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
kl. 10.43 +0200   24    5,67    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   94,33
kl. 10.43 +0200   25    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
