 ***NOTE***: Collecting stats for next round (10 sec)
CPU          total/sec     dropped/sec    squeezed/sec   collision/sec      rx_rps/sec  flow_limit/sec 
CPU:00               0               0               0               0               0               0 
CPU:01               7               0               0               0               0               0 
CPU:02           29425               0               0               0               0               0 
CPU:03           30829               0               0               0               0               0 
CPU:04           30968               0               0               0               0               0 
CPU:05           30281               0               0               0               0               0 
CPU:06           59796               0               0               0               0               0 
CPU:07           29727               0               0               0               0               0 
CPU:08           29723               0               0               0               0               0 
CPU:09           30660               0               0               0               0               0 
CPU:10           29475               0               0               0               0               0 
CPU:11           30419               0               0               0               0               0 
CPU:12           29585               0               0               0               0               0 
CPU:13           31350               0               0               0               0               0 
CPU:14           59042               0               0               0               0               0 
CPU:15           30207               0               0               0               0               0 
CPU:16           59889               0               0               0               0               0 
CPU:17           28377               0               0               0               0               0 
CPU:18               0               0               0               0               0               0 
CPU:19           31004               0               0               0               0               0 
CPU:20           28478               0               0               0               0               0 
CPU:21           31572               0               0               0               0               0 
CPU:22           29180               0               0               0               0               0 
CPU:23           29565               0               0               0               0               0 
CPU:24           29998               0               0               0               0               0 
CPU:25           29037               0               0               0               0               0 
CPU:26           30084               0               0               0               0               0 
CPU:27               0               0               0               0               0               0 
CPU:28           31447               0               0               0               0               0 
CPU:29           31102               0               0               0               0               0 
CPU:30           31576               0               0               0               0               0 
CPU:31             472               0               0               0               0               0 
CPU:32           30888               0               0               0               0               0 
CPU:33           30965               0               0               0               0               0 
CPU:34           30425               0               0               0               0               0 
CPU:35               0               0               0               0               0               0 
CPU:36           30857               0               0               0               0               0 
CPU:37           60042               0               0               0               0               0 
CPU:38           30969               0               0               0               0               0 
CPU:39           30566               0               0               0               0               0 
CPU:40           29422               0               0               0               0               0 
CPU:41           31224               0               0               0               0               0 
CPU:42           29233               0               0               0               0               0 
CPU:43           59223               0               0               0               0               0 
CPU:44               0               0               0               0               0               0 
CPU:45           29115               0               0               0               0               0 
CPU:46           31507               0               0               0               0               0 
CPU:47           29220               0               0               0               0               0 
CPU:48           28434               0               0               0               0               0 
CPU:49           30149               0               0               0               0               0 
CPU:50           59153               0               0               0               0               0 
CPU:51           30115               0               0               0               0               0 
