Linux 5.4.0-72-generic (suricata) 	06. mai 2021 	_x86_64_	(64 CPU)

kl. 09.43 +0200  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
kl. 09.43 +0200    0    0,00    0,00    0,00    0,00    0,00    0,10    0,00    0,00    0,00   99,90
kl. 09.43 +0200    1    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
kl. 09.43 +0200    2    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
kl. 09.43 +0200    3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
kl. 09.43 +0200    4    0,00    0,00    0,00    0,60    0,00    0,00    0,00    0,00    0,00   99,40
kl. 09.43 +0200    5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
kl. 09.43 +0200    6    0,00    0,00    0,20    0,00    0,00    0,00    0,00    0,00    0,00   99,80
kl. 09.43 +0200    7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
kl. 09.43 +0200    8    0,40    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,60
kl. 09.43 +0200    9    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
kl. 09.43 +0200   10    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
kl. 09.43 +0200   11    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
kl. 09.43 +0200   12    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
kl. 09.43 +0200   13    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
kl. 09.43 +0200   14    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
kl. 09.43 +0200   15    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
kl. 09.43 +0200   16    0,00    0,00    0,20    0,00    0,00    0,00    0,00    0,00    0,00   99,80
kl. 09.43 +0200   17    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
kl. 09.43 +0200   18    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
kl. 09.43 +0200   19    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
kl. 09.43 +0200   20    0,70    0,00    0,10    0,00    0,00    0,00    0,00    0,00    0,00   99,20
kl. 09.43 +0200   21    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
kl. 09.43 +0200   22    0,10    0,00    0,00    0,10    0,00    0,00    0,00    0,00    0,00   99,80
kl. 09.43 +0200   23    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
kl. 09.43 +0200   24    0,10    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,90
kl. 09.43 +0200   25    0,00    0,00    0,10    0,00    0,00    0,00    0,00    0,00    0,00   99,90
kl. 09.43 +0200   26    0,50    0,00    0,30    0,00    0,00    0,00    0,00    0,00    0,00   99,20
kl. 09.43 +0200   27    0,10    0,00    0,10    0,10    0,00    0,00    0,00    0,00    0,00   99,70
