 ***NOTE***: Collecting stats for next round (10 sec)
CPU          total/sec     dropped/sec    squeezed/sec   collision/sec      rx_rps/sec  flow_limit/sec 
CPU:00               0               0               0               0               0               0 
CPU:01               0               0               0               0               0               0 
CPU:02               0               0               0               0               0               0 
CPU:03               0               0               0               0               0               0 
CPU:04               0               0               0               0               0               0 
CPU:05               0               0               0               0               0               0 
CPU:06               0               0               0               0               0               0 
CPU:07               0               0               0               0               0               0 
CPU:08               0               0               0               0               0               0 
CPU:09               0               0               0               0               0               0 
CPU:10               0               0               0               0               0               0 
CPU:11               0               0               0               0               0               0 
CPU:12               0               0               0               0               0               0 
CPU:13               0               0               0               0               0               0 
CPU:14               0               0               0               0               0               0 
CPU:15               0               0               0               0               0               0 
CPU:16               0               0               0               0               0               0 
CPU:17               0               0               0               0               0               0 
CPU:18               0               0               0               0               0               0 
CPU:19               0               0               0               0               0               0 
CPU:20               0               0               0               0               0               0 
CPU:21               0               0               0               0               0               0 
CPU:22               0               0               0               0               0               0 
CPU:23               5               0               0               0               0               0 
CPU:24               0               0               0               0               0               0 
CPU:25               0               0               0               0               0               0 
CPU:26               0               0               0               0               0               0 
CPU:27               0               0               0               0               0               0 
CPU:28               0               0               0               0               0               0 
CPU:29               0               0               0               0               0               0 
CPU:30               0               0               0               0               0               0 
CPU:31               0               0               0               0               0               0 
CPU:32               0               0               0               0               0               0 
CPU:33               0               0               0               0               0               0 
CPU:34               0               0               0               0               0               0 
CPU:35               0               0               0               0               0               0 
CPU:36               0               0               0               0               0               0 
CPU:37               0               0               0               0               0               0 
CPU:38               0               0               0               0               0               0 
CPU:39               0               0               0               0               0               0 
CPU:40               0               0               0               0               0               0 
CPU:41               0               0               0               0               0               0 
CPU:42               0               0               0               0               0               0 
CPU:43               1               0               0               0               0               0 
CPU:44               0               0               0               0               0               0 
CPU:45               0               0               0               0               0               0 
CPU:46               0               0               0               0               0               0 
CPU:47               0               0               0               0               0               0 
CPU:48               0               0               0               0               0               0 
CPU:49               0               0               0               0               0               0 
CPU:50               0               0               0               0               0               0 
CPU:51               0               0               0               0               0               0 
CPU:52               0               0               0               0               0               0 
CPU:53               0               0               0               0               0               0 
CPU:54               0               0               0               0               0               0 
CPU:55               0               0               0               0               0               0 
CPU:56               0               0               0               0               0               0 
CPU:57               0               0               0               0               0               0 
CPU:58               0               0               0               0               0               0 
CPU:59               0               0               0               0               0               0 
CPU:60               0               0               0               0               0               0 
CPU:61               0               0               0               0               0               0 
CPU:62               0               0               0               0               0               0 
CPU:63               0               0               0               0               0               0 

Summed:              8               0               0               0               0               0 

CPU          total/sec     dropped/sec    squeezed/sec   collision/sec      rx_rps/sec  flow_limit/sec 
CPU:00           23137               0               0               0               0               0 
CPU:01           24673               0               0               0               0               0 
CPU:02           24189               0               0               0               0               0 
CPU:03               0               0               0               0               0               0 
CPU:04           24636               0               0               0               0               0 
CPU:05           23015               0               0               0               0               0 
CPU:06           48448               0               0               0               0               0 
CPU:07           24924               0               0               0               0               0 
CPU:08               0               0               0               0               0               0 
CPU:09           24336               0               0               0               0               0 
CPU:10           24813               0               0               0               0               0 
CPU:11           24847               0               0               0               0               0 
CPU:12           23223               0               0               0               0               0 
CPU:13           24011               0               0               0               0               0 
CPU:14           25784               0               0               0               0               0 
CPU:15           24387               0               0               0               0               0 
CPU:16           46914               0               0               0               0               0 
CPU:17               0               0               0               0               0               0 
CPU:18           23252               0               0               0               0               0 
CPU:19           23502               0               0               0               0               0 
CPU:20           24766               0               0               0               0               0 
CPU:21               0               0               0               0               0               0 
CPU:22               0               0               0               0               0               0 
CPU:23           24116               0               0               0               0               0 
CPU:24           48106               0               0               0               0               0 
CPU:25           25186               0               0               0               0               0 
CPU:26           47573               0               0               0               0               0 
CPU:27           25183               0               0               0               0               0 
CPU:28           24896               0               0               0               0               0 
CPU:29           23376               0               0               0               0               0 
CPU:30           23335               0               0               0               0               0 
CPU:31           23607               0               0               0               0               0 
CPU:32               0               0               0               0               0               0 
CPU:33           23245               0               0               0               0               0 
CPU:34           23990               0               0               0               0               0 
CPU:35           24356               0               0               0               0               0 
CPU:36           24498               0               0               0               0               0 
CPU:37               1               0               0               0               0               0 
CPU:38           24665               0               0               0               0               0 
CPU:39           48364               0               0               0               0               0 
CPU:40           23789               0               0               0               0               0 
CPU:41           48874               0               0               0               0               0 
CPU:42           25023               0               0               0               0               0 
CPU:43           23732               0               0               0               0               0 
CPU:44           24932               0               0               0               0               0 
CPU:45           24945               0               0               0               0               0 
CPU:46               0               0               0               0               0               0 
CPU:47           23496               0               0               0               0               0 
CPU:48           23499               0               0               0               0               0 
CPU:49           23265               0               0               0               0               0 
CPU:50           48527               0               0               0               0               0 
CPU:51           24406               0               0               0               0               0 
CPU:52           23430               0               0               0               0               0 
CPU:53           24293               0               0               0               0               0 
CPU:54           23686               0               0               0               0               0 
CPU:55           25453               0               0               0               0               0 
CPU:56           23479               0               0               0               0               0 
CPU:57           24329               0               0               0               0               0 
CPU:58           24661               0               0               0               0               0 
CPU:59           24245               0               0               0               0               0 
CPU:60           45125               0               0               0               0               0 
CPU:61           25019               0               0               0               0               0 
CPU:62           24800               0               0               0               0               0 
CPU:63           24105               0               0               0               0               0 

Summed:        1544466               0               0               0               0               0 

